molecule_chembl_id,canonical_smiles,source
CHEMBL490266,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,chembl_nonmodeled
CHEMBL490267,CC(C)(C)c1ccc(OC[C@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,chembl_nonmodeled
CHEMBL518986,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled
CHEMBL519395,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,chembl_nonmodeled
CHEMBL519982,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,chembl_nonmodeled
CHEMBL520144,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,chembl_nonmodeled
CHEMBL521472,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled
CHEMBL522082,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled
CHEMBL521184,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,chembl_nonmodeled
CHEMBL554993,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,chembl_nonmodeled
CHEMBL556684,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(O)c1C2=O,chembl_nonmodeled
CHEMBL5564149,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(N)c(C#N)c(-c3cccs3)cc12,chembl_nonmodeled
CHEMBL5614250,COC(=O)c1c(C(F)(F)F)nc2c(c1-c1ccc(S(=O)(=O)c3ccccc3)cc1)C(=O)CC(C)(C)C2,chembl_nonmodeled
