canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812,0.44000000000000045,1,5,0.7412911127286824,7.698970004336019,9.356547323513812,CHEMBL39337,CHEMBL39337,1
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.387216143280265,4.1,1,1,,8.387216143280265,8.387216143280265,CHEMBL172652,CHEMBL172652,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.070581074285707,85.00000000000003,1,1,,7.070581074285707,7.070581074285707,CHEMBL1198361,CHEMBL1198361,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.096910013008056,8.000000000000004,1,1,,8.096910013008056,8.096910013008056,CHEMBL2087359,CHEMBL2087359,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.838064696729745,14.51895313030524,1,2,0.040158566790134485,7.809668301829708,7.866461091629782,CHEMBL1198370,CHEMBL1198370,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.259637310505756,55.000000000000036,1,1,,7.259637310505756,7.259637310505756,CHEMBL2087353,CHEMBL2087353,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.801029995663981,15.811388300841895,1,2,0.7071067811865476,7.301029995663981,8.301029995663981,CHEMBL2087355,CHEMBL2087355,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.801029995663981,15.811388300841895,1,2,0.7071067811865476,7.301029995663981,8.301029995663981,CHEMBL2087356,CHEMBL2087356,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.154901959985743,7.000000000000002,1,1,,8.154901959985743,8.154901959985743,CHEMBL2087357,CHEMBL2087357,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.823908740944319,15.000000000000004,1,2,0.0,7.823908740944319,7.823908740944319,CHEMBL93051,CHEMBL93051,1
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.920818753952375,120.00000000000007,0,1,,6.920818753952375,6.920818753952375,CHEMBL2087352,CHEMBL2087352,1
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.11383914663854,7.69415362466854,1,2,0.4496621129285729,7.795880017344075,8.431798275933005,CHEMBL40130,CHEMBL40130,1
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.584513301338674,26.030751045638336,1,2,0.6661002822244144,7.113509274827518,8.05551732784983,CHEMBL39355,CHEMBL39355,1
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,7.5742485236147274,26.653329998332307,1,2,1.2127584901381967,6.71669877129645,8.431798275933005,CHEMBL38199,CHEMBL38199,1
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745,0.3400000000000002,1,1,,9.468521082957745,9.468521082957745,CHEMBL366580,CHEMBL366580,1
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280337,0.003000000000000001,1,1,,11.522878745280337,11.522878745280337,CHEMBL63786,CHEMBL63786,1
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.769551078621726,1.7000000000000006,1,1,,8.769551078621726,8.769551078621726,CHEMBL173498,CHEMBL173498,1
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.356547323513812,44.00000000000004,1,1,,7.356547323513812,7.356547323513812,CHEMBL177053,CHEMBL177053,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125,64.00000000000006,1,1,,7.1938200260161125,7.1938200260161125,CHEMBL137364,CHEMBL137364,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6020599913279625,24.999999999999993,1,1,,7.6020599913279625,7.6020599913279625,CHEMBL424093,CHEMBL424093,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488,238.00000000000017,0,1,,6.623423042943488,6.623423042943488,CHEMBL138125,CHEMBL138125,1
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,8.769551078621726,1.7000000000000006,1,3,0.7731194487443962,7.85078088734462,9.387216143280265,CHEMBL2425736,CHEMBL2425736,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.943095148663527,1140.0000000000002,0,1,,5.943095148663527,5.943095148663527,CHEMBL2070200,CHEMBL2070200,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.008773924307505,98.00000000000006,1,1,,7.008773924307505,7.008773924307505,CHEMBL2070198,CHEMBL2070198,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.991399828238082,1020.0000000000009,0,1,,5.991399828238082,5.991399828238082,CHEMBL2070192,CHEMBL2070192,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.200659450546418,630.0000000000006,0,1,,6.200659450546418,6.200659450546418,CHEMBL2070197,CHEMBL2070197,1
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.537602002101044,28.99999999999997,1,2,0.0,7.537602002101044,7.537602002101044,CHEMBL153170,CHEMBL153170,1
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.919012953089113,120.49999999999997,0,1,,6.919012953089113,6.919012953089113,CHEMBL5287505,CHEMBL5287505,1
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764,1.2400000000000015,1,2,0.0,8.906578314837764,8.906578314837764,CHEMBL153525,CHEMBL153525,1
Brc1cccc(Nc2ncnc3ccccc23)c1,7.568636235841012,27.000000000000032,1,4,0.0,7.568636235841012,7.568636235841012,CHEMBL290096,CHEMBL290096,1
Brc1cccc(Nc2ncnc3cccnc23)c1,7.468521082957745,34.00000000000002,1,1,,7.468521082957745,7.468521082957745,CHEMBL54805,CHEMBL54805,1
Brc1cccc(Nc2ncnc3ccncc23)c1,7.455931955649724,35.0,1,1,,7.455931955649724,7.455931955649724,CHEMBL52665,CHEMBL52665,1
Brc1cccc(Nc2ncnc3ccsc23)c1,7.958607314841775,11.000000000000009,1,1,,7.958607314841775,7.958607314841775,CHEMBL345294,CHEMBL345294,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,9.0,1.0,1,1,,9.0,9.0,CHEMBL165574,CHEMBL165574,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.769551078621726,1.7000000000000006,1,1,,8.769551078621726,8.769551078621726,CHEMBL162981,CHEMBL162981,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.170994301671444,0.6745368781616022,1,2,0.02275800786225973,9.154901959985743,9.187086643357144,CHEMBL162622,CHEMBL162622,1
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.10790539730952,0.7800000000000007,1,1,,9.10790539730952,9.10790539730952,CHEMBL162142,CHEMBL162142,1
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.920818753952375,1.2000000000000008,1,1,,8.920818753952375,8.920818753952375,CHEMBL162223,CHEMBL162223,1
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.823908740944319,1.5000000000000004,1,1,,8.823908740944319,8.823908740944319,CHEMBL165508,CHEMBL165508,1
Brc1cccc(Nc2ncnc3cnccc23)c1,7.292429823902063,51.00000000000004,1,1,,7.292429823902063,7.292429823902063,CHEMBL51265,CHEMBL51265,1
