max_features,random_state,val_MAE,val_RMSE,val_R2,val_Spearman,train_R2
1.0,42,0.5946642853898787,0.7785210462517118,0.5956241504387505,0.7689442118822258,0.958556297666797
1.0,7,0.5951049362457882,0.7807900026105724,0.5932636537577363,0.7685357432176981,0.9583370840512174
1.0,123,0.5986007106175085,0.7819853805682818,0.5920172857289898,0.7677469104515384,0.9584345118834671
1.0,2024,0.5943329228117638,0.7778193263138587,0.5963527902474877,0.7700071579523636,0.958233920706916
1.0,777,0.5967377794398779,0.780989426523273,0.5930558557275742,0.7689986356106002,0.9584348124973023
0.2,42,0.5864862108230761,0.761166911637894,0.6134512286650067,0.7792240898066962,0.9595268537123108
0.2,7,0.5831660940414768,0.7595104863006301,0.6151317864545497,0.7789203333039251,0.9594488213306269
0.2,123,0.581990653657517,0.7585417717598224,0.6161129175405948,0.780578456611035,0.9592495893941364
0.2,2024,0.5804600856486689,0.756658941506979,0.6180162989760123,0.7809624585838134,0.959267349092462
0.2,777,0.5799689449090646,0.7553433327156553,0.6193434602678226,0.7833915925312452,0.9592849361336957
0.15,42,0.5807275394461014,0.7563441274866833,0.6183340876169112,0.7811469399643076,0.959596320393607
0.15,7,0.5835837578374383,0.7608978825436907,0.6137244262684605,0.778946756642458,0.9595614708838914
0.15,123,0.5815507394892035,0.7572577405453998,0.6174114769982197,0.7824477715355274,0.9594286331229078
0.15,2024,0.5817121320982921,0.7576053495310666,0.6170601521448724,0.7799425980479785,0.9594431673899384
0.15,777,0.5842444609041403,0.7608632286279604,0.6137596101128802,0.7796044539083282,0.9592396980778825
0.1,42,0.5831583582045529,0.7581663893478235,0.6164927748076705,0.7802624088162244,0.959594251855056
0.1,7,0.5850730592935095,0.7614986176034694,0.6131142500868778,0.7762988167952916,0.9597083723169022
0.1,123,0.5860139786841805,0.7631517306395964,0.6114326709784111,0.776604340591932,0.9594973051631432
0.1,2024,0.583906332822612,0.7614767242395085,0.6131364959809009,0.7787711633730146,0.9592398120325888
0.1,777,0.5830431433173598,0.7595895735301992,0.6150516302327241,0.7794738807288153,0.9595386093586391
