compound,experimental_pIC50,L1_pred,L1_rank,L1_percentile,L1_max_sim,L2_pred,L2_rank,L2_percentile,L2_max_sim,L3_pred,L3_rank,L3_percentile,L3_max_sim,L3_minus_L2_rank,L3_minus_L1_rank,L3_pred_minus_L2_pred,L3_pred_minus_L1_pred
afatinib,8.979303359985352,8.292388264179229,1,0.21052631578947367,1.0,8.396518202251858,1,0.2105263157894736,0.8048780487804879,8.08712223686112,3,0.631578947368421,0.5978260869565217,2,2,-0.3093959653907383,-0.2052660273181086
erlotinib,7.522878646850586,7.975819192462497,3,0.631578947368421,0.9038461538461539,7.778448141415914,5,1.0526315789473684,0.7121212121212122,7.733960286140443,10,2.1052631578947367,0.5972222222222222,5,7,-0.044487855275471055,-0.24185890632205442
gefitinib,7.638272285461426,7.776028779612646,7,1.4736842105263157,0.9193548387096774,7.684377680142722,8,1.6842105263157894,0.9193548387096774,7.60964113940133,15,3.1578947368421053,0.5975609756097561,7,8,-0.0747365407413918,-0.16638764021131536
lapatinib,7.966576099395752,7.676742265939712,13,2.736842105263158,0.8734177215189873,7.620801079008316,13,2.736842105263158,0.8395061728395061,7.575628547668457,19,4.0,0.5955056179775281,6,6,-0.045172531339858324,-0.1011137182712547
