radius,MAE,RMSE,R2,Spearman,mean_on_bits,median_on_bits,fingerprint_density,mean_max_train_tanimoto,median_max_train_tanimoto,min_max_train_tanimoto,max_max_train_tanimoto
1,0.5834481731272202,0.7707917864554568,0.6036136857096663,0.776037589969322,36.378936767578125,37.0,0.017763152718544006,0.800752217762441,0.8235294117647058,0.2653061224489796,1.0
2,0.5946642853898787,0.7785210462517118,0.5956241504387505,0.7689442118822258,62.18528366088867,64.0,0.030363908037543297,0.7198310644854221,0.75,0.16455696202531644,1.0
3,0.5874374519239738,0.7722062324833107,0.602157568804177,0.7731113883143037,86.03026580810547,88.0,0.042006965726614,0.6653153090390872,0.7,0.12121212121212122,1.0
