molecule_chembl_id,tuned_predicted_pIC50,rank_eligible,rank_median,rank_min,rank_max,top10_freq,max_train_tanimoto,AD_category,historical_error_context,ADMET_ok,docking_status,affinity_kcal_mol,external_evidence,tier,experimental_validation_priority,priority_rationale
CHEMBL13983,5.932621772289276,4,9.0,3,27,0.56,0.6388888888888888,MODERATE,MAE ~0.63,True,SUPPORTIVE,-9.22,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,Tier 1,P1,"pred=5.93, rank=4, median rank=9 across 25 runs, sim=0.64 (MODERATE), physchem=pass, docking=SUPPORTIVE"
CHEMBL5564149,6.119193044900894,3,2.0,2,5,1.0,0.3095238095238095,OOD,MAE ~1.07 (high-error region),True,SUPPORTIVE,-9.079,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,Tier 2,P2,"pred=6.12, rank=3, median rank=2 across 25 runs, sim=0.31 (OOD), physchem=pass, docking=SUPPORTIVE"
CHEMBL131921,5.8746152983578765,7,12.0,3,27,0.48,0.75,MODERATE,MAE ~0.63,True,INCOMPLETE,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,Tier 2,P3,"pred=5.87, rank=7, median rank=12 across 25 runs, sim=0.75 (MODERATE), physchem=pass, docking=INCOMPLETE"
CHEMBL2315700,5.83989722583029,8,9.0,4,35,0.64,0.1682242990654205,OOD,MAE ~1.07 (high-error region),True,INCOMPLETE,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,Tier 2,P4,"pred=5.84, rank=8, median rank=9 across 25 runs, sim=0.17 (OOD), physchem=pass, docking=INCOMPLETE"
CHEMBL243664,5.714256839249035,14,10.0,2,35,0.52,0.5833333333333334,LOWER,MAE ~0.82,True,SUPPORTIVE,-8.644,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,Tier 2,P5,"pred=5.71, rank=14, median rank=10 across 25 runs, sim=0.58 (LOWER), physchem=pass, docking=SUPPORTIVE"
