compound_name_or_id,name,chembl_id,canonical_smiles,inchi_key,experimental_pIC50,n_measurements,source_identifier,selection_reason
afatinib (CHEMBL1173655),afatinib,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,8.979303657420887,106,results/m65_improved_shortlist.csv + data/processed/egfr_activity_final.csv,named approved EGFR inhibitor used as positive control in M6.5; curated pIC50 >= 7 with many measurements
erlotinib (CHEMBL553),erlotinib,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,7.522878745280337,197,results/m65_improved_shortlist.csv + data/processed/egfr_activity_final.csv,named approved EGFR inhibitor used as positive control in M6.5; curated pIC50 >= 7 with many measurements
gefitinib (CHEMBL939),gefitinib,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,7.638272163982407,228,results/m65_improved_shortlist.csv + data/processed/egfr_activity_final.csv,named approved EGFR inhibitor used as positive control in M6.5; curated pIC50 >= 7 with many measurements
lapatinib (CHEMBL554),lapatinib,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,7.966576244513051,82,results/m65_improved_shortlist.csv + data/processed/egfr_activity_final.csv,named approved EGFR inhibitor used as positive control in M6.5; curated pIC50 >= 7 with many measurements
