split_seed,train_n,val_n,test_n,train_scaffolds,val_scaffolds,test_scaffolds,test_mean_pIC50,test_pIC50_std,test_active_fraction,mean_max_train_tanimoto,median_max_train_tanimoto,frac_max_tanimoto_lt_0.4,frac_max_tanimoto_lt_0.6,frac_max_tanimoto_ge_0.8,baseline_MAE,baseline_RMSE,baseline_R2,baseline_Spearman,baseline_ROC_AUC,baseline_PR_AUC,tuned_MAE,tuned_RMSE,tuned_R2,tuned_Spearman,tuned_ROC_AUC,tuned_PR_AUC,delta_MAE,delta_RMSE,delta_R2,delta_Spearman
7,8128,1018,1015,2794,401,446,6.985625743865967,1.384752869606018,0.5182266009852217,0.7253681437134288,0.7538461538461538,0.03645320197044335,0.17044334975369457,0.3330049261083744,0.6325286473556186,0.8669356616315478,0.6080513297578163,0.7906833726492258,0.9085528003918915,0.9162887804809626,0.6348681229693557,0.8635959239792427,0.6110653581729631,0.7923031422373404,0.9108621614686603,0.9169096496844801,0.002339475613737041,-0.003339737652305108,0.0030140284151468633,0.0016197695881146057
21,8129,1015,1017,2856,378,407,6.965742588043213,1.339011788368225,0.5093411996066863,0.7302508710611318,0.7678571428571429,0.05014749262536873,0.15732546705998032,0.37069813176007865,0.6164837016138749,0.8173772460861195,0.62737126780856,0.7967242649883837,0.891201321562043,0.9003947055126921,0.6145626821587932,0.807560876871172,0.6362677633199675,0.8014034998049075,0.8955729992804141,0.9019191944103472,-0.0019210194550817183,-0.009816369214947551,0.008896495511407476,0.004679234816523881
42,8128,1015,1018,2858,444,339,6.985252380371094,1.3512532711029053,0.5353634577603144,0.7052783744383596,0.729570747217806,0.04420432220039293,0.21414538310412573,0.2681728880157171,0.6494016365330101,0.88319335258866,0.5727933418284104,0.7586928914812212,0.8795236340361154,0.8853276422717296,0.6492266285422527,0.8633158008940205,0.5918067594375412,0.7662994411031386,0.8817871482048996,0.8906010311718605,-0.00017500799075742535,-0.01987755169463956,0.01901341760913089,0.0076065496219174245
123,8116,1002,1043,2886,461,294,6.7676568031311035,1.3585776090621948,0.439117929050815,0.6981489396636307,0.7142857142857143,0.04314477468839885,0.1984659635666347,0.24352828379674019,0.6607404195088509,0.8551030730232625,0.6038423436677383,0.7727561883794473,0.8716996976822304,0.8512065610512123,0.6495563745370659,0.8359598217578252,0.6213814143972919,0.7846527372916203,0.8817694920315007,0.8600714852851552,-0.011184044971784934,-0.019143251265437256,0.01753907072955363,0.011896548912173066
2024,8126,1021,1014,2908,408,325,7.154465198516846,1.289048671722412,0.5798816568047337,0.709321454798984,0.7254901960784313,0.02465483234714004,0.20019723865877712,0.27218934911242604,0.5662034332405033,0.753600094142137,0.6582226540855289,0.7992192113036635,0.8842938583884258,0.9121062647069416,0.5595638905486171,0.7370460186135344,0.6730731470063683,0.8041399432699342,0.8874197566350485,0.9138449368278037,-0.006639542691886158,-0.016554075528602663,0.014850492920839398,0.004920731966270742
