min_samples_leaf,train_MAE,train_RMSE,train_R2,train_Spearman,val_MAE,val_RMSE,val_R2,val_Spearman,R2_gap,Spearman_gap,RMSE_gap,mean_tree_depth,mean_n_leaves,mean_samples_per_leaf
1,0.196186443555106,0.27605786871391297,0.958556297666797,0.9822144781579184,0.5946642853898787,0.7785210462517118,0.5956241504387505,0.7689442118822258,0.36293214722804645,0.21327026627569257,0.5024631775377988,84.14333333333333,4674.406666666667,1.7389022910141276
2,0.2634334942028135,0.3688621326327181,0.9260077165665828,0.9671856068479107,0.6028827814127199,0.7852440718074787,0.5886099079030773,0.7646725421027956,0.33739780866350544,0.2025130647451151,0.4163819391747606,69.68,2177.08,3.733661477338068
4,0.3645825116780575,0.49750436049333174,0.8653978281410374,0.9364941887647088,0.6167457390418395,0.7972215790805708,0.5759641393077802,0.7571303926768319,0.28943368883325715,0.1793637960878769,0.29971721858723904,52.99333333333333,1027.03,7.914793909820622
8,0.46534699449569467,0.6197819664273718,0.7911010988729781,0.8963768293898075,0.6476454004912755,0.8340072079331343,0.5359293491083587,0.7320926195855039,0.2551717497646194,0.16428420980430358,0.2142252415057625,38.656666666666666,497.4866666666667,16.340334020171156
16,0.5616832689677184,0.7337339202006936,0.7072239967248168,0.8490246324553983,0.6879457262986387,0.8851744284508578,0.4772401632740563,0.6922520768751904,0.22998383345076057,0.15677255558020786,0.1514405082501642,28.26,244.66666666666666,33.22946518262048
