molecule_chembl_id,canonical_smiles,source,is_positive_control,name,rf_pred,rf_pred_calibrated,rf_pred_isotonic,rank
CHEMBL483525,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,chembl_nonmodeled,False,,5.675551946759224,5.648744049346933,5.535691556283983,31
CHEMBL519982,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,chembl_nonmodeled,False,,5.624082306027413,5.5927845407222465,5.328955190091192,32
CHEMBL485485,O=CN/C=C/c1cccc(O)c1O,chembl_nonmodeled,False,,5.564182314276695,5.52765927352913,5.328955190091192,33
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,chembl_nonmodeled,False,,5.552117161432903,5.514541637287246,5.328955190091192,34
CHEMBL242741,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,chembl_nonmodeled,False,,5.513370075821877,5.472414514567861,5.328955190091192,35
CHEMBL4539558,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1,chembl_nonmodeled,False,,5.492903464078904,5.450162532232939,5.328955190091192,36
CHEMBL241609,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.4271067245801285,5.378626124379555,5.328955190091192,37
CHEMBL489139,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.427088401317596,5.37860620271791,5.328955190091192,38
CHEMBL483428,CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.425864158272743,5.377275164881758,5.328955190091192,39
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,chembl_nonmodeled,False,,5.410044878919918,5.360075917193331,5.328955190091192,40
CHEMBL490773,CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.409109770655632,5.359059236326002,5.328955190091192,41
CHEMBL522082,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.401760383248329,5.351068737419121,5.328955190091192,42
