molecule_chembl_id,canonical_smiles,true_pIC50,role
CHEMBL5971716,N#CCC(=O)N1CCC(c2ccc(Nc3nc(N4CCC[C@@H](NC(=O)N5CCCCC5)C4)nnc3C(N)=O)cc2)CC1,5.259637355804443,background
CHEMBL5845962,C=C(C)C(=O)N1CCC[C@@H](n2nc(C(=O)Nc3nc4cc(F)ccc4o3)c3c(N)ncnc32)C1,5.887730121612549,background
CHEMBL3613691,CN(C)c1ccc(/C=C/C(=O)c2ccc3ncc(C(N)=O)c(Nc4ccc(Cl)cc4)c3c2)cc1,5.277119159698486,background
CHEMBL5286675,CN(C)c1ccc(/C=C/c2cc(C(=O)O)c3cc(Br)ccc3n2)cc1,5.651695251464844,background
CHEMBL544074,C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1,5.958607196807861,background
CHEMBL544067,C=C(CN1CCOCC1)C(=O)c1ccc(OCc2ccccc2)cc1,5.958607196807861,background
CHEMBL1946843,CN(C)c1nc(N/N=C/c2cc(Br)c(O)c(Br)c2O)nc(Nc2ccc(F)cc2)n1,4.886893272399902,background
CHEMBL4784185,N#Cc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)c4cc([N+](=O)[O-])ccc4F)cc23)cc1Cl,5.6487836837768555,background
CHEMBL1641995,N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)[C@@H]3CCC(=O)N3)ccc12,5.6575775146484375,background
CHEMBL1641997,N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)c3ccoc3)ccc12,4.3448615074157715,background
CHEMBL56201,CN1C(=O)C(=C(C#N)C#N)c2cc(O)ccc21,4.585026741027832,background
CHEMBL5892735,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3cccc(OCCN4CCCC4=O)c3)ncc2F)cc1,5.978810787200928,background
CHEMBL138691,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5.641684532165527,background
CHEMBL6032138,CN1CCCN([C@@H]2CCCN(c3cnc(C(N)=O)c(Nc4ccc(C5(C)CCN(C6CC6)CC5)cc4)n3)C2)C1=O,5.259637355804443,background
CHEMBL5853228,C=CC(=O)N1CC(Nc2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)CCC1C,5.174314498901367,background
CHEMBL4639556,CN1CCN(C/C=C/C(=O)N2CCCOc3cc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4cc32)CC1,5.31247091293335,background
CHEMBL118000,N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1,5.640164375305176,background
CHEMBL5946793,C=CC(=O)N1CC(Nc2nc(Nc3cccc(N4CCOCC4)c3)c3c(c2F)CNC3=O)CCC1C,5.413863182067871,background
CHEMBL3233765,CN1CCN(CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,5.468648910522461,background
CHEMBL489083,N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31,5.337242126464844,background
CHEMBL487254,N=C(Nc1ccccc1)SCCCN1C(=O)C2=C(C1=O)n1ccc3cccc(c31)C1Cc3ccccc3N21,5.022276401519775,background
CHEMBL5983357,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(Cl)cc4Cl)ncnc3cn2)C1,5.638272285461426,background
CHEMBL2332119,NC(=O)C1=C(N)C(=O)C=C(Nc2ccccc2O)C1=O,5.585026741027832,background
CHEMBL5935382,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4c(c3F)CNC4=O)CC2C1,5.864867210388184,background
CHEMBL3613695,NC(=O)c1cnc2ccc(C(=O)/C=C/c3ccc(Cl)cc3)cc2c1Nc1ccc(Br)cc1,5.316592693328857,background
