molecule_chembl_id,canonical_smiles,source,is_positive_control,name,rf_pred,transformer_pred,ensemble_equal_pred,ensemble_selected_pred,rank_selected,RandomForest_pred,XGBoost_pred,GCN_pred,GIN_pred,Transformer_pred,RF_TF_diff,ADMET_ok,MW,cLogP,TPSA,HBD,HBA,QED,ESOL_logS,Lipinski_violations,Veber_violations,affinity_kcal_mol,m7_score,m7_rank,activity_high,docking_hit,consensus_ok,confidence_tier
CHEMBL490266,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,chembl_nonmodeled,False,,6.085403282040641,5.478633,5.7820181044907795,5.994387776459398,15,6.085403282040641,5.541756,6.2877593,5.6483984,5.478633,0.6067702820406407,False,544.564,4.397,142.66,1,9,0.1291,-5.641,1,1,-8.005,-0.5013896026732473,16.0,False,True,True,mid
CHEMBL490267,CC(C)(C)c1ccc(OC[C@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,chembl_nonmodeled,False,,6.085403282040641,5.4688244,5.77711383431866,5.992916495407762,16,6.085403282040641,5.541756,6.2877593,5.6483984,5.4688244,0.616578882040641,False,544.564,4.397,142.66,1,9,0.1291,-5.641,1,1,-9.743,-0.0339091543600125,11.0,False,True,True,mid
CHEMBL5564149,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(N)c(C#N)c(-c3cccs3)cc12,chembl_nonmodeled,False,,5.830818096399307,6.786509,6.308663566708565,5.9741717851758,17,5.830818096399307,5.584373,6.2633967,6.3194175,6.786509,0.9556909036006926,True,416.462,3.745,111.0,1,7,0.4006,-5.035,0,0,-9.079,0.339485542105682,8.0,False,True,True,mid
CHEMBL484121,CC(C)(C)OC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,chembl_nonmodeled,False,,6.069235043520019,5.3351893,5.702212193009399,5.95912821220869,18,6.069235043520019,5.7587605,6.5217,6.037858,5.3351893,0.734045743520019,False,468.466,2.836,142.66,1,9,0.1931,-4.176,0,1,-7.884,-0.5871974170995713,18.0,False,True,True,mid
CHEMBL484321,CC(C)(C)OC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,chembl_nonmodeled,False,,6.069235043520019,5.2816334,5.675434210297607,5.951094817395153,19,6.069235043520019,5.7587605,6.5217,6.037858,5.2816334,0.787601643520019,False,468.466,2.836,142.66,1,9,0.1931,-4.176,0,1,,,,False,False,True,
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,chembl_nonmodeled,False,,5.552117161432903,7.5323057,6.542211439450583,5.849145444838206,20,5.552117161432903,4.971607,5.3095374,5.3575068,7.5323057,1.9801885385670976,True,352.342,1.973,115.06,4,6,0.5762,-3.609,0,0,-9.518,0.6135928835571927,6.0,True,True,False,mid
CHEMBL483531,COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,chembl_nonmodeled,False,,6.002410265207291,4.702325,5.3523675662279135,5.8073974555134775,21,6.002410265207291,5.691105,5.089903,5.4307404,4.702325,1.300085265207291,True,290.271,2.486,107.22,4,5,0.6469,-3.43,0,0,,,,False,False,False,
CHEMBL520144,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,chembl_nonmodeled,False,,5.861060681939125,5.3402214,5.600641043484211,5.7829348380863665,22,5.861060681939125,5.740641,5.014321,5.5870786,5.3402214,0.520839281939125,True,288.255,2.38,100.13,3,6,0.3609,-3.554,0,0,,,,False,False,True,
CHEMBL485475,O=c1c(-c2ccc(O)cc2)c(CN2CCCCC2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.858996639251709,5.030872,5.444934253692627,5.734777947425842,23,5.858996639251709,5.7974615,6.026513,6.250237,5.030872,0.8281246392517092,True,367.401,3.563,94.14,3,6,0.6552,-4.603,0,0,,,,False,False,True,
CHEMBL483532,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1C(=O)O,chembl_nonmodeled,False,,5.774318006038666,5.4997144,5.637016190290451,5.733127497076988,24,5.774318006038666,5.5257125,4.6266212,4.9779987,5.4997144,0.2746036060386654,True,276.244,2.183,118.22,5,5,0.5364,-3.24,0,0,,,,False,False,True,
CHEMBL483526,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,chembl_nonmodeled,False,,5.847560322880745,5.0175896,5.432574945986271,5.723064733654261,25,5.847560322880745,5.29359,5.128972,5.8657093,5.0175896,0.8299707228807449,True,272.256,2.674,79.9,2,5,0.5256,-3.665,0,0,,,,False,False,True,
CHEMBL453504,O=CN/C=C/c1ccc(O)c(O)c1O,chembl_nonmodeled,False,,5.700613853931427,5.6982837,5.699448763132095,5.700264362454414,26,5.700613853931427,5.3692923,5.339673,5.7351375,5.6982837,0.0023301539314264375,True,195.174,0.52,89.79,4,4,0.4178,-1.497,0,0,-6.519,-0.7587458783642758,19.0,False,False,True,mid
CHEMBL485485,O=CN/C=C/c1cccc(O)c1O,chembl_nonmodeled,False,,5.564182314276695,6.4694977,6.016839997470379,5.699979678839445,27,5.564182314276695,5.3651643,5.5050707,5.8158064,6.4694977,0.9053153857233047,True,179.175,0.814,69.56,3,3,0.4748,-1.608,0,0,-6.491,-0.5554082130554432,17.0,False,False,True,mid
CHEMBL491174,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,chembl_nonmodeled,False,,5.690824697613716,5.6504135,5.670619105398655,5.684763067632914,28,5.690824697613716,5.530737,5.3852882,5.9423003,5.6504135,0.040411197613716254,True,284.267,2.88,79.9,2,5,0.756,-3.849,0,0,,,,False,False,True,
CHEMBL483525,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,chembl_nonmodeled,False,,5.675551946759224,5.694278,5.684914855062962,5.678360866934061,29,5.675551946759224,5.579577,5.0443764,5.9249687,5.694278,0.018726053240775364,True,338.293,1.847,134.27,3,7,0.3659,-3.42,0,0,-8.841,-0.1394876182407144,13.0,False,True,True,mid
CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,chembl_nonmodeled,False,,5.845369890332222,4.60954,5.22745493799448,5.659995452314615,30,5.845369890332222,5.5648656,5.3878336,5.9430847,4.60954,1.235829890332222,True,284.267,2.88,79.9,2,5,0.756,-3.849,0,0,,,,False,False,False,
CHEMBL5614250,COC(=O)c1c(C(F)(F)F)nc2c(c1-c1ccc(S(=O)(=O)c3ccccc3)cc1)C(=O)CC(C)(C)C2,chembl_nonmodeled,False,,5.697275043328603,5.392309,5.544792116085688,5.651530200918516,31,5.697275043328603,5.466443,6.5307627,6.3052564,5.392309,0.3049660433286032,False,517.525,5.542,90.4,0,6,0.4222,-6.646,2,0,,,,False,False,True,
CHEMBL519982,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,chembl_nonmodeled,False,,5.624082306027413,5.701892,5.66298710256815,5.635753756910563,32,5.624082306027413,5.2401996,4.561009,5.4319973,5.701892,0.07780969397258719,True,258.229,2.371,90.9,3,5,0.4251,-3.48,0,0,,,,False,False,True,
CHEMBL2315700,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,chembl_nonmodeled,False,,5.8043978681166974,4.5603437,5.182370805243652,5.617789761175713,33,5.8043978681166974,5.5635266,5.445246,5.4044356,4.5603437,1.2440541681166977,True,431.529,3.058,123.93,4,6,0.3763,-4.046,0,0,,,,False,False,False,
CHEMBL441343,O=C(O)c1ccc(O)cc1,chembl_nonmodeled,False,,5.696060836315155,4.8938036,5.2949322164058685,5.575722250342369,34,5.696060836315155,5.067221,4.2521944,4.343961,4.8938036,0.802257236315155,True,138.122,1.09,57.53,2,2,0.6103,-1.761,0,0,,,,False,False,True,
CHEMBL4539558,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1,chembl_nonmodeled,False,,5.492903464078904,5.9464474,5.719675418257713,5.560935062253476,35,5.492903464078904,5.39798,6.125305,5.378971,5.9464474,0.453543935921096,True,324.138,0.276,109.87,5,3,0.4421,-2.218,0,0,-5.951,-0.8991478496395646,20.0,False,False,True,mid
CHEMBL242741,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,chembl_nonmodeled,False,,5.513370075821877,5.052086,5.28272797614336,5.444177481681109,36,5.513370075821877,5.6637707,5.253247,5.634718,5.052086,0.4612840758218768,True,300.266,2.585,100.13,3,6,0.6723,-3.737,0,0,,,,False,False,True,
CHEMBL522082,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.401760383248329,5.266447,5.334103725254536,5.381463445454836,37,5.401760383248329,5.2630816,5.2045374,5.534293,5.266447,0.1353133832483291,True,328.276,2.363,117.2,3,7,0.6181,-3.726,0,0,,,,False,False,True,
CHEMBL450484,O=C(O)/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.372133038640023,5.3397574,5.355945240557194,5.3672767230570315,38,5.372133038640023,5.3384075,4.6024814,5.278609,5.3397574,0.032375638640022686,True,180.159,1.196,77.76,3,3,0.4716,-1.92,0,0,,,,False,False,True,
CHEMBL483428,CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.425864158272743,5.0102873,5.218075721561909,5.363527639180422,39,5.425864158272743,5.24297,5.5842257,5.828679,5.0102873,0.41557685827274327,True,402.424,3.373,117.2,3,8,0.5374,-4.487,0,0,,,,False,False,True,
CHEMBL485258,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,chembl_nonmodeled,False,,5.33802186203003,5.428783,5.383402400970459,5.351636047554017,40,5.33802186203003,5.0380716,4.930651,5.3336887,5.428783,0.09076113796997021,True,365.385,3.708,101.23,4,5,0.5312,-4.539,0,0,,,,False,False,True,
CHEMBL489139,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.427088401317596,4.9018035,5.164445947408677,5.348295700907707,41,5.427088401317596,5.3867126,5.4996047,5.843481,4.9018035,0.5252849013175966,True,342.303,2.754,117.2,3,7,0.6264,-3.973,0,0,,,,False,False,True,
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,chembl_nonmodeled,False,,5.410044878919918,4.8776846,5.143864736060301,5.330190883745749,42,5.410044878919918,5.037981,5.095359,5.8492036,4.8776846,0.532360278919918,True,222.243,3.46,30.21,0,2,0.6308,-4.028,0,0,,,,False,False,True,
CHEMBL241609,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.4271067245801285,4.692125,5.05961578408877,5.31685945435365,43,5.4271067245801285,5.4189987,4.6090856,5.445925,4.692125,0.7349817245801287,True,286.239,2.282,111.13,4,6,0.5106,-3.55,0,0,,,,False,False,True,
CHEMBL521472,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.3744392538070676,4.888539,5.131489045619965,5.301554203271865,44,5.3744392538070676,5.2233877,4.708,5.281906,4.888539,0.4859002538070678,True,284.267,2.885,90.9,3,5,0.6388,-3.918,0,0,,,,False,False,True,
CHEMBL490773,CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.409109770655632,4.520405,4.96475729316473,5.2758040750920765,45,5.409109770655632,5.631464,5.326686,5.524437,4.520405,0.8887047706556315,True,356.33,3.142,117.2,3,7,0.6171,-4.286,0,0,,,,False,False,True,
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.376444812615712,4.6591825,5.017813680569331,5.268855484922726,46,5.376444812615712,5.1319656,4.735135,5.532266,4.6591825,0.7172623126157118,True,270.24,2.577,90.9,3,5,0.6318,-3.665,0,0,,,,False,False,True,
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.330836368401845,4.7587175,5.044776952664057,5.245018555601438,47,5.330836368401845,5.2772865,4.5122495,5.2733765,4.7587175,0.5721188684018443,True,286.239,2.282,111.13,4,6,0.5459,-3.55,0,0,,,,False,False,True,
CHEMBL17329,COC(=O)/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.388796691894531,4.380088,4.884442272186279,5.2374903659820555,48,5.388796691894531,5.716441,4.994282,5.3567524,4.380088,1.0087086918945314,True,194.186,1.284,66.76,2,4,0.4226,-2.038,0,0,,,,False,False,False,
CHEMBL490980,NC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.36462164958318,4.477482,4.921051745812098,5.231550678451855,49,5.36462164958318,5.234657,4.629985,5.2370396,4.477482,0.8871396495831796,True,313.265,1.676,133.99,4,6,0.5684,-3.221,0,0,,,,False,False,True,
CHEMBL489146,CC(=O)N/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.3405827277898785,4.5718756,4.956229149997235,5.225276678293943,50,5.3405827277898785,5.3570657,5.171479,5.626938,4.5718756,0.7687071277898783,True,193.202,1.205,69.56,3,3,0.618,-1.982,0,0,,,,False,False,True,
CHEMBL443171,O=C(O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.332544542153675,4.5973,4.964922297398249,5.222257904489834,51,5.332544542153675,5.217886,4.540042,5.1676493,4.5973,0.7352445421536755,True,314.249,2.275,128.2,4,6,0.5708,-3.604,0,0,,,,False,False,True,
CHEMBL483830,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,chembl_nonmodeled,False,,5.117234872579575,5.4936643,5.305449568629265,5.17369929331541,52,5.117234872579575,5.035624,4.8025174,5.2995667,5.4936643,0.3764294274204252,False,397.383,3.12,141.69,6,7,0.3485,-4.332,1,1,,,,False,False,True,
CHEMBL4531006,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,chembl_nonmodeled,False,,5.055082955360413,5.8397245,5.4474037480354305,5.172779252767563,53,5.055082955360413,5.4453816,6.0870037,5.273043,5.8397245,0.7846415446395874,True,403.034,1.038,109.87,5,3,0.4179,-3.178,0,0,,,,False,False,True,
CHEMBL490960,CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.198831610679626,5.0037756,5.101303603649139,5.169573232412338,54,5.198831610679626,4.968791,5.3567696,5.598821,5.0037756,0.1950560106796262,True,330.361,3.44,90.9,3,6,0.6813,-4.372,0,0,,,,False,False,True,
CHEMBL521184,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.14651782174905,4.884131,5.015324388245741,5.107159791698058,55,5.14651782174905,5.591271,5.916215,5.7811775,4.884131,0.26238682174905037,True,384.413,2.769,115.29,4,8,0.5487,-4.208,0,0,,,,False,False,True,
CHEMBL2315697,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.050476590196292,5.334244,5.192360182305177,5.093041727433602,56,5.050476590196292,5.391318,5.5082254,5.128874,5.334244,0.2837674098037084,True,443.584,5.032,103.7,3,5,0.341,-5.166,1,0,,,,False,False,True,
CHEMBL483831,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,chembl_nonmodeled,False,,5.131316738724709,4.867101,4.9992089655995375,5.091684454470873,57,5.131316738724709,5.423893,4.802434,5.1674986,4.867101,0.26421573872470905,True,381.384,3.414,121.46,5,6,0.4148,-4.435,0,0,,,,False,False,True,
CHEMBL2315699,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.050476590196292,5.1340632,5.092269917031129,5.063014635930458,58,5.050476590196292,5.391318,5.5082254,5.128874,5.1340632,0.08358660980370836,True,443.584,5.032,103.7,3,5,0.341,-5.166,1,0,,,,False,False,True,
CHEMBL518986,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.130671488245327,4.653785,4.892228358487287,5.0591385493179155,59,5.130671488245327,5.3220987,5.6788235,5.85312,4.653785,0.4768864882453272,True,401.465,3.913,103.26,3,8,0.6112,-5.035,0,0,,,,False,False,True,
CHEMBL2315701,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,chembl_nonmodeled,False,,4.991426718831062,5.1311407,5.0612837138772,5.01238385310769,60,4.991426718831062,6.481617,5.5579615,5.049654,5.1311407,0.13971398116893852,True,401.503,4.008,103.7,3,5,0.4194,-4.326,0,0,,,,False,False,True,
CHEMBL2315409,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C1=O,chembl_nonmodeled,False,,4.925101243853569,5.2761307,5.10061596006155,4.977755682557821,61,4.925101243853569,5.124504,5.4360156,4.97231,5.2761307,0.35102945614643133,True,445.556,3.757,123.93,4,6,0.3146,-4.375,0,0,,,,False,False,True,
CHEMBL2315410,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.021402793924014,4.6660786,4.843740680714449,4.96810420764486,62,5.021402793924014,5.3052597,5.4910536,5.1324787,4.6660786,0.35532419392401415,True,445.556,3.757,123.93,4,6,0.3146,-4.375,0,0,,,,False,False,True,
CHEMBL2315696,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled,False,,4.952948033213615,4.867809,4.910378426015377,4.940177151054144,63,4.952948033213615,5.210562,5.465437,4.9615088,4.867809,0.08513903321361482,True,443.584,5.032,103.7,3,5,0.341,-5.166,1,0,,,,False,False,True,
CHEMBL2315698,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled,False,,4.952948033213615,4.774134,4.863541096150875,4.926125952094793,64,4.952948033213615,5.210562,5.465437,4.9615088,4.774134,0.178814033213615,True,443.584,5.032,103.7,3,5,0.341,-5.166,1,0,,,,False,False,True,
