compound,experimental_pIC50,level1_predicted_pIC50,level1_rank,level1_percentile,level1_max_train_tanimoto,level2_predicted_pIC50,level2_rank,level2_percentile,level2_max_train_tanimoto,rank_change_level2_minus_level1,predicted_pIC50_change
afatinib,8.979303359985352,8.292388264179229,1,0.21052631578947367,1.0,8.396518202251858,1,0.21052631578947367,0.8048780487804879,0,0.10412993807262971
erlotinib,7.522878646850586,7.975819192462497,3,0.631578947368421,0.9038461538461539,7.778448141415914,5,1.0526315789473684,0.7121212121212122,2,-0.19737105104658337
gefitinib,7.638272285461426,7.776028779612646,7,1.4736842105263157,0.9193548387096774,7.684377680142722,8,1.6842105263157894,0.9193548387096774,1,-0.09165109946992356
lapatinib,7.966576099395752,7.676742265939712,13,2.736842105263158,0.8734177215189873,7.620801079008316,13,2.736842105263158,0.8395061728395061,0,-0.05594118693139638
