max_depth,train_MAE,train_RMSE,train_R2,train_Spearman,val_MAE,val_RMSE,val_R2,val_Spearman,R2_gap,Spearman_gap,RMSE_gap,mean_tree_depth,median_tree_depth,max_tree_depth,mean_n_leaves,median_n_leaves,mean_samples_per_leaf,fraction_trees_hitting_depth_limit
20,0.38969772138193,0.5108560817839027,0.8580761380469842,0.9354689280432321,0.6177901372641548,0.7914899726423705,0.5820394138762058,0.7596968122832614,0.2760367241707784,0.17577211575997076,0.2806338908584678,20.0,20.0,20,1877.1,1870.5,4.369837493414859,1.0
40,0.22809022526927744,0.3102834392429405,0.9476429127731304,0.9774555909887062,0.5872185841961353,0.7620856016612907,0.6125175758763823,0.7780981113071631,0.33512533689674806,0.19935747968154305,0.4518021624183502,40.0,40.0,40,3980.75,3995.5,2.0466201186060995,1.0
60,0.19919061341916228,0.2773760155900706,0.9581595742509742,0.98232598827175,0.5863538964173846,0.7605889830697425,0.6140379929222828,0.7800260338276981,0.3441215813286914,0.2022999544440519,0.48321296747967196,60.0,60.0,60,4569.596666666666,4600.0,1.7800146117375015,1.0
80,0.19503481179855775,0.2731897677936627,0.9594129821680543,0.982979976179546,0.586933012993035,0.7628079838080244,0.6117826373117436,0.7789380802317023,0.3476303448563106,0.20404189594784372,0.4896182160143617,77.76666666666667,80.0,80,4696.096666666666,4708.0,1.7310244046326817,0.6333333333333333
None,0.19427649624972199,0.27280626596591095,0.9595268537123108,0.9830332049549587,0.5864862108230761,0.761166911637894,0.6134512286650067,0.7792240898066962,0.34607562504730416,0.2038091151482625,0.488360645671983,86.55666666666667,84.5,138,4725.15,4729.0,1.7202269697962291,0.0
