nBits,MAE,RMSE,R2,Spearman,mean_on_bits,median_on_bits,mean_fingerprint_density,median_fingerprint_density,n_molecules_evaluated,unique_fingerprints,duplicated_fingerprints,collision_groups,max_collision_group_size,mean_max_train_tanimoto,median_max_train_tanimoto,min_max_train_tanimoto,max_max_train_tanimoto
512,0.5890954736949335,0.7684284264602204,0.6060407156447136,0.7748297732032807,59.910423278808594,62.0,0.11701254546642303,0.12109375,9143,8778,365,287,10,0.7361172486708831,0.7611940298507462,0.19767441860465115,1.0
1024,0.598023790821477,0.7812412862727249,0.5927933441669941,0.767840531122875,61.61238098144531,63.0,0.06016834080219269,0.0615234375,9143,8780,363,286,10,0.7248823375678806,0.75,0.19736842105263158,1.0
2048,0.5946642853898787,0.7785210462517118,0.5956241504387505,0.7689442118822258,62.4362907409668,64.0,0.030486470088362694,0.03125,9143,8780,363,286,10,0.7198310644854221,0.75,0.16455696202531644,1.0
4096,0.5884897314714592,0.7744295304282757,0.5998633744328281,0.7712086260078838,62.987640380859375,65.0,0.015377841889858246,0.015869140625,9143,8780,363,286,10,0.716781312793947,0.7441860465116279,0.175,1.0
